x_org_slug,subscription_id,provider,plan_name,display_name,category,status,start_date,end_date,billing_cycle,billing_anchor_day,currency,seats,pricing_model,unit_price,yearly_price,discount_type,discount_value,auto_renew,payment_method,invoice_id_last,owner_email,department,x_hierarchy_entity_id,x_hierarchy_entity_name,x_hierarchy_level_code,x_hierarchy_path,x_hierarchy_path_names,renewal_date,contract_id,notes,source_currency,source_price,exchange_rate_used,updated_at
acme_inc_01022026,sub_chatgpt_plus_team_001,chatgpt_plus,TEAM,ChatGPT Team,ai,active,2025-01-01,,monthly,,USD,150,PER_SEAT,30.0,,,,TRUE,credit_card,INV-202501-0001,finance@genai-community.com,ML Ops,TEAM-MLOPS,ML Ops,team,/DEPT-DS/PROJ-MLPIPE/TEAM-MLOPS,Data Science > ML Pipeline > ML Ops,,,Demo subscription for ChatGPT Team,,,,2025-01-01T00:00:00Z
acme_inc_01022026,sub_claude_pro_team_002,claude_pro,TEAM,Claude Team,ai,active,2025-01-01,,monthly,,USD,120,PER_SEAT,30.0,,,,TRUE,credit_card,INV-202501-0002,finance@genai-community.com,ML Ops,TEAM-MLOPS,ML Ops,team,/DEPT-DS/PROJ-MLPIPE/TEAM-MLOPS,Data Science > ML Pipeline > ML Ops,,,Demo subscription for Claude Team,,,,2025-01-01T00:00:00Z
acme_inc_01022026,sub_slack_business_plus_003,slack,BUSINESS_PLUS,Slack Business+,communication,active,2025-01-01,,monthly,,USD,300,PER_SEAT,15.0,,,,TRUE,credit_card,INV-202501-0003,finance@genai-community.com,Backend,TEAM-BACKEND,Backend,team,/DEPT-ENG/PROJ-PLATFORM/TEAM-BACKEND,Engineering > Platform > Backend,,,Demo subscription for Slack Business+,,,,2025-01-01T00:00:00Z
acme_inc_01022026,sub_github_enterprise_004,github,ENTERPRISE,GitHub Enterprise,developer_tools,active,2025-01-01,,monthly,,USD,200,PER_SEAT,21.0,,,,TRUE,credit_card,INV-202501-0004,finance@genai-community.com,Backend,TEAM-BACKEND,Backend,team,/DEPT-ENG/PROJ-PLATFORM/TEAM-BACKEND,Engineering > Platform > Backend,,,Demo subscription for GitHub Enterprise,,,,2025-01-01T00:00:00Z
acme_inc_01022026,sub_figma_organization_005,figma,ORGANIZATION,Figma Organization,design,active,2025-01-01,,monthly,,USD,80,PER_SEAT,45.0,,,,TRUE,credit_card,INV-202501-0005,finance@genai-community.com,Frontend,TEAM-FRONTEND,Frontend,team,/DEPT-ENG/PROJ-PLATFORM/TEAM-FRONTEND,Engineering > Platform > Frontend,,,Demo subscription for Figma Organization,,,,2025-01-01T00:00:00Z
acme_inc_01022026,sub_notion_business_006,notion,BUSINESS,Notion Business,productivity,active,2025-01-01,,monthly,,USD,250,PER_SEAT,18.0,,,,TRUE,credit_card,INV-202501-0006,finance@genai-community.com,Frontend,TEAM-FRONTEND,Frontend,team,/DEPT-ENG/PROJ-PLATFORM/TEAM-FRONTEND,Engineering > Platform > Frontend,,,Demo subscription for Notion Business,,,,2025-01-01T00:00:00Z
acme_inc_01022026,sub_cursor_business_007,cursor,BUSINESS,Cursor Business,developer_tools,active,2025-01-01,,monthly,,USD,80,PER_SEAT,40.0,,,,TRUE,credit_card,INV-202501-0007,finance@genai-community.com,Backend,TEAM-BACKEND,Backend,team,/DEPT-ENG/PROJ-PLATFORM/TEAM-BACKEND,Engineering > Platform > Backend,,,Demo subscription for Cursor Business,,,,2025-01-01T00:00:00Z
acme_inc_01022026,sub_vercel_enterprise_008,vercel,ENTERPRISE,Vercel Enterprise,infrastructure,active,2025-01-01,,monthly,,USD,1,FLAT_FEE,500.0,,,,TRUE,credit_card,INV-202501-0008,finance@genai-community.com,Data Engineering,TEAM-DATAENG,Data Engineering,team,/DEPT-DS/PROJ-MLPIPE/TEAM-DATAENG,Data Science > ML Pipeline > Data Engineering,,,Demo subscription for Vercel Enterprise,,,,2025-01-01T00:00:00Z
acme_inc_01022026,sub_copilot_enterprise_009,copilot,ENTERPRISE,GitHub Copilot Enterprise,ai,active,2025-01-01,,monthly,,USD,150,PER_SEAT,39.0,,,,TRUE,credit_card,INV-202501-0009,finance@genai-community.com,ML Ops,TEAM-MLOPS,ML Ops,team,/DEPT-DS/PROJ-MLPIPE/TEAM-MLOPS,Data Science > ML Pipeline > ML Ops,,,Demo subscription for GitHub Copilot Enterprise,,,,2025-01-01T00:00:00Z
acme_inc_01022026,sub_linear_business_010,linear,BUSINESS,Linear Business,project_management,active,2025-01-01,,monthly,,USD,120,PER_SEAT,12.0,,,,TRUE,credit_card,INV-202501-0010,finance@genai-community.com,Backend,TEAM-BACKEND,Backend,team,/DEPT-ENG/PROJ-PLATFORM/TEAM-BACKEND,Engineering > Platform > Backend,,,Demo subscription for Linear Business,,,,2025-01-01T00:00:00Z
acme_inc_01022026,sub_zoom_business_011,zoom,BUSINESS,Zoom Business,communication,active,2025-01-01,,monthly,,USD,200,PER_SEAT,21.99,,,,TRUE,credit_card,INV-202501-0011,finance@genai-community.com,Backend,TEAM-BACKEND,Backend,team,/DEPT-ENG/PROJ-PLATFORM/TEAM-BACKEND,Engineering > Platform > Backend,,,Demo subscription for Zoom Business,,,,2025-01-01T00:00:00Z
acme_inc_01022026,sub_jira_premium_012,jira,PREMIUM,Jira Premium,project_management,active,2025-01-01,,monthly,,USD,200,PER_SEAT,17.65,,,,TRUE,credit_card,INV-202501-0012,finance@genai-community.com,Backend,TEAM-BACKEND,Backend,team,/DEPT-ENG/PROJ-PLATFORM/TEAM-BACKEND,Engineering > Platform > Backend,,,Demo subscription for Jira Premium,,,,2025-01-01T00:00:00Z
acme_inc_01022026,sub_confluence_premium_013,confluence,PREMIUM,Confluence Premium,productivity,active,2025-01-01,,monthly,,USD,200,PER_SEAT,11.55,,,,TRUE,credit_card,INV-202501-0013,finance@genai-community.com,Frontend,TEAM-FRONTEND,Frontend,team,/DEPT-ENG/PROJ-PLATFORM/TEAM-FRONTEND,Engineering > Platform > Frontend,,,Demo subscription for Confluence Premium,,,,2025-01-01T00:00:00Z
