org_slug,subscription_id,provider,plan_name,display_name,category,status,start_date,end_date,billing_cycle,currency,seats,pricing_model,unit_price_usd,yearly_price_usd,discount_type,discount_value,auto_renew,payment_method,invoice_id_last,owner_email,department,renewal_date,contract_id,notes
,sub_chatgpt_free,ChatGPT,FREE,ChatGPT Free,ai_ml,active,,,monthly,USD,1,FLAT_FEE,0.00,0.00,percent,0,true,,,,,,,Basic ChatGPT access with GPT-3.5
,sub_chatgpt_plus,ChatGPT,PLUS,ChatGPT Plus,ai_ml,active,,,monthly,USD,1,FLAT_FEE,20.00,240.00,percent,0,true,,,,,,,ChatGPT Plus with GPT-4 access and priority
,sub_chatgpt_team,ChatGPT,TEAM,ChatGPT Team,ai_ml,active,,,monthly,USD,1,PER_SEAT,25.00,300.00,percent,0,true,,,,,,,Team workspace with GPT-4 and collaboration features
,sub_chatgpt_enterprise,ChatGPT,ENTERPRISE,ChatGPT Enterprise,ai_ml,active,,,annual,USD,1,PER_SEAT,60.00,720.00,percent,0,true,,,,,,,Enterprise features with unlimited usage and SSO
,sub_claude_free,Claude,FREE,Claude Free,ai_ml,active,,,monthly,USD,1,FLAT_FEE,0.00,0.00,percent,0,true,,,,,,,Free tier with Claude Sonnet access
,sub_claude_pro,Claude,PRO,Claude Pro,ai_ml,active,,,monthly,USD,1,FLAT_FEE,20.00,240.00,percent,0,true,,,,,,,Claude Pro with priority access to all models
,sub_claude_team,Claude,TEAM,Claude Team,ai_ml,active,,,monthly,USD,1,PER_SEAT,25.00,300.00,percent,0,true,,,,,,,Team workspace with usage controls and collaboration
,sub_claude_enterprise,Claude,ENTERPRISE,Claude Enterprise,ai_ml,active,,,annual,USD,1,PER_SEAT,60.00,720.00,percent,0,true,,,,,,,Enterprise deployment with dedicated support
,sub_canva_free,Canva,FREE,Canva Free,design,active,,,monthly,USD,1,FLAT_FEE,0.00,0.00,percent,0,true,,,,,,,Basic design tools with limited templates
,sub_canva_pro,Canva,PRO,Canva Pro,design,active,,,monthly,USD,1,FLAT_FEE,12.99,155.88,percent,0,true,,,,,,,Pro features with premium templates and brand kit
,sub_canva_pro_annual,Canva,PRO,Canva Pro Annual,design,active,,,annual,USD,1,FLAT_FEE,119.99,119.99,percent,17,true,,,,,,,Annual billing with 17% discount
,sub_canva_team,Canva,TEAM,Canva for Teams,design,active,,,monthly,USD,1,PER_SEAT,14.99,179.88,percent,0,true,,,,,,,Team collaboration with shared brand assets
,sub_slack_free,Slack,FREE,Slack Free,collaboration,active,,,monthly,USD,1,FLAT_FEE,0.00,0.00,percent,0,true,,,,,,,Free tier with 90-day message history
,sub_slack_pro,Slack,PRO,Slack Pro,collaboration,active,,,monthly,USD,1,PER_SEAT,8.75,105.00,percent,0,true,,,,,,,Unlimited message history and apps
,sub_slack_business,Slack,BUSINESS_PLUS,Slack Business+,collaboration,active,,,monthly,USD,1,PER_SEAT,15.00,180.00,percent,0,true,,,,,,,Advanced admin and compliance features
,sub_slack_enterprise,Slack,ENTERPRISE_GRID,Slack Enterprise Grid,collaboration,active,,,annual,USD,1,PER_SEAT,20.00,240.00,percent,0,true,,,,,,,Enterprise-grade security and unlimited workspaces
,sub_figma_free,Figma,FREE,Figma Free,design,active,,,monthly,USD,1,FLAT_FEE,0.00,0.00,percent,0,true,,,,,,,Starter plan with 3 Figma and FigJam files
,sub_figma_pro,Figma,PROFESSIONAL,Figma Professional,design,active,,,monthly,USD,1,PER_SEAT,15.00,180.00,percent,0,true,,,,,,,Unlimited Figma files and version history
,sub_figma_org,Figma,ORGANIZATION,Figma Organization,design,active,,,monthly,USD,1,PER_SEAT,45.00,540.00,percent,0,true,,,,,,,Organization-wide design system and libraries
,sub_figma_enterprise,Figma,ENTERPRISE,Figma Enterprise,design,active,,,annual,USD,1,PER_SEAT,75.00,900.00,percent,0,true,,,,,,,Enterprise security and dedicated support
,sub_notion_free,Notion,FREE,Notion Free,productivity,active,,,monthly,USD,1,FLAT_FEE,0.00,0.00,percent,0,true,,,,,,,Personal workspace with unlimited blocks
,sub_notion_plus,Notion,PLUS,Notion Plus,productivity,active,,,monthly,USD,1,PER_SEAT,10.00,120.00,percent,0,true,,,,,,,Unlimited file uploads and 30-day version history
,sub_notion_business,Notion,BUSINESS,Notion Business,productivity,active,,,monthly,USD,1,PER_SEAT,18.00,216.00,percent,0,true,,,,,,,Advanced permissions and SAML SSO
,sub_notion_enterprise,Notion,ENTERPRISE,Notion Enterprise,productivity,active,,,annual,USD,1,PER_SEAT,25.00,300.00,percent,0,true,,,,,,,Enterprise analytics and dedicated support
,sub_github_free,GitHub,FREE,GitHub Free,developer_tools,active,,,monthly,USD,1,FLAT_FEE,0.00,0.00,percent,0,true,,,,,,,Unlimited public and private repositories
,sub_github_pro,GitHub,PRO,GitHub Pro,developer_tools,active,,,monthly,USD,1,FLAT_FEE,4.00,48.00,percent,0,true,,,,,,,Advanced code review and insights
,sub_github_team,GitHub,TEAM,GitHub Team,developer_tools,active,,,monthly,USD,1,PER_SEAT,4.00,48.00,percent,0,true,,,,,,,Team access controls and code review
,sub_github_enterprise,GitHub,ENTERPRISE,GitHub Enterprise,developer_tools,active,,,annual,USD,1,PER_SEAT,21.00,252.00,percent,0,true,,,,,,,Enterprise-grade security and compliance
,sub_cursor_free,Cursor,FREE,Cursor Free,developer_tools,active,,,monthly,USD,1,FLAT_FEE,0.00,0.00,percent,0,true,,,,,,,Free AI code editor with basic features
,sub_cursor_pro,Cursor,PRO,Cursor Pro,developer_tools,active,,,monthly,USD,1,FLAT_FEE,20.00,240.00,percent,0,true,,,,,,,Pro features with unlimited AI requests
,sub_cursor_business,Cursor,BUSINESS,Cursor Business,developer_tools,active,,,monthly,USD,1,PER_SEAT,40.00,480.00,percent,0,true,,,,,,,Business tier with team collaboration
